iter	Passed	Remaining
660	1311	672
661	1312	670
662	1313	667
663	1317	666
664	1318	664
665	1320	662
666	1322	660
667	1323	657
668	1324	655
669	1326	653
670	1327	650
671	1331	649
672	1332	647
673	1334	645
674	1336	643
675	1337	641
676	1339	638
677	1340	636
678	1341	634
679	1342	631
680	1346	630
681	1348	628
682	1349	626
683	1350	624
684	1352	622
685	1354	619
686	1355	617
687	1356	614
688	1357	612
689	1358	610
690	1362	609
691	1363	606
692	1365	604
693	1366	602
694	1367	600
695	1368	597
696	1369	595
697	1370	592
698	1371	590
699	1372	588
700	1373	585
701	1376	584
702	1377	581
703	1378	579
704	1379	577
705	1380	574
706	1381	572
707	1382	569
708	1382	567
709	1384	565
710	1385	562
711	1386	560
712	1386	558
713	1387	555
714	1390	554
715	1391	551
716	1392	549
717	1394	547
718	1395	545
719	1396	542
720	1397	540
721	1398	538
722	1399	535
723	1399	533
724	1400	531
725	1401	529
726	1402	526
727	1405	525
728	1406	522
729	1407	520
730	1409	518
731	1410	516
732	1411	514
733	1412	511
734	1413	509
735	1415	507
736	1416	505
737	1417	503
738	1418	500
739	1420	499
740	1422	497
741	1424	495
742	1425	492
743	1426	490
744	1427	488
745	1428	486
746	1429	484
747	1430	482
748	1431	479
749	1432	477
750	1434	475
751	1436	473
752	1437	471
753	1438	469
754	1439	467
755	1440	464
756	1441	462
757	1442	460
758	1443	458
759	1444	456
760	1445	453
761	1446	451
762	1447	449
763	1448	447
764	1450	445
765	1451	443
766	1452	441
767	1453	439
768	1454	436
769	1455	434
770	1456	432
771	1457	430
772	1458	428
773	1459	426
774	1460	424
775	1461	421
776	1462	419
777	1463	417
778	1466	415
779	1467	413
780	1468	411
781	1469	409
782	1470	407
783	1471	405
784	1472	403
785	1473	401
786	1475	399
787	1476	397
788	1477	395
789	1481	393
790	1482	391
791	1483	389
792	1484	387
793	1485	385
794	1486	383
795	1487	381
796	1488	379
797	1489	377
798	1490	374
799	1491	372
800	1492	370
801	1493	368
802	1496	367
803	1497	364
804	1498	362
805	1499	360
806	1500	358
807	1502	356
808	1503	354
809	1504	352
810	1505	350
811	1506	348
812	1507	346
813	1510	345
814	1512	343
815	1513	341
816	1515	339
817	1516	337
818	1518	335
819	1519	333
820	1520	331
821	1521	329
822	1523	327
823	1526	325
824	1527	323
825	1528	321
826	1529	319
827	1530	317
828	1532	316
829	1533	314
830	1534	312
831	1536	310
832	1537	308
833	1538	306
834	1540	304
835	1541	302
836	1542	300
837	1543	298
838	1544	296
839	1545	294
840	1546	292
841	1547	290
842	1548	288
843	1549	286
844	1550	284
845	1551	282
846	1552	280
847	1555	278
848	1556	276
849	1557	274
850	1558	272
851	1559	270
852	1560	268
853	1561	266
854	1562	265
855	1563	263
856	1564	261
857	1565	259
858	1566	257
859	1567	255
860	1570	253
861	1571	251
862	1572	249
863	1573	247
864	1574	245
865	1576	243
866	1577	241
867	1578	240
868	1579	238
869	1580	236
870	1581	234
871	1582	232
872	1584	230
873	1586	228
874	1587	226
875	1588	224
876	1589	222
877	1590	221
878	1591	219
879	1592	217
880	1593	215
881	1594	213
882	1595	211
883	1596	209
884	1597	207
885	1600	205
886	1601	204
887	1602	202
888	1604	200
889	1605	198
890	1606	196
891	1607	194
892	1608	192
893	1609	190
894	1610	188
895	1611	187
896	1612	185
897	1615	183
898	1616	181
899	1617	179
900	1618	177
901	1619	175
902	1620	174
903	1621	172
904	1622	170
905	1623	168
906	1624	166
907	1625	164
908	1626	162
909	1627	160
910	1629	159
911	1630	157
912	1631	155
913	1632	153
914	1633	151
915	1634	149
916	1635	148
917	1636	146
918	1637	144
919	1638	142
920	1639	140
921	1640	138
922	1641	136
923	1642	135
924	1645	133
925	1646	131
926	1647	129
927	1648	127
928	1650	126
929	1651	124
930	1652	122
931	1653	120
932	1654	118
933	1655	117
934	1656	115
935	1657	113
936	1660	111
937	1661	109
938	1662	107
939	1663	106
940	1664	104
941	1665	102
942	1666	100
943	1667	98
944	1668	97
945	1669	95
946	1670	93
947	1671	91
948	1672	89
949	1673	88
950	1676	86
951	1677	84
952	1678	82
953	1679	80
954	1680	79
955	1681	77
956	1682	75
957	1683	73
958	1684	72
959	1685	70
960	1686	68
961	1687	66
962	1690	64
963	1692	63
964	1693	61
965	1694	59
966	1695	57
967	1696	56
968	1697	54
969	1698	52
970	1699	50
971	1700	48
972	1701	47
973	1701	45
974	1702	43
975	1705	41
976	1707	40
977	1708	38
978	1709	36
979	1710	34
980	1712	33
981	1713	31
982	1714	29
983	1715	27
984	1716	26
985	1717	24
986	1720	22
987	1721	20
988	1722	19
989	1723	17
990	1724	15
991	1725	13
992	1726	12
993	1727	10
994	1728	8
995	1729	6
996	1730	5
997	1731	3
998	1732	1
999	1733	0
